name,author,style,time,publisher,score
We Sing. We Dance. We Steal Things.,Jason Mraz,9.1
Viva La Vida,Coldplay,8.7
华丽的冒险,陈绮贞,8.9
范特西,周杰伦,9.2
後。青春期的詩,五月天,8.8
是时候,孙燕姿,8.6
Lenka,Lenka,8.5
Start from Here,王若琳,8.7
